1 1 112
1 2 140
1 3 168
1 4 196
1 5 224
1 6 252
1 7 280
1 8 308
1 9 336
1 10 364
1 11 392
1 12 420
1 13 448
1 14 476
1 15 504
1 16 532
1 17 560
1 18 588
1 19 616
1 20 644
1 21 672
1 22 700
1 23 728
1 24 756
1 25 784
1 26 812
1 27 840
1 28 868
1 29 896
1 30 924
1 31 952
1 32 960
2 1 113
2 2 143
2 3 173
2 4 203
2 5 233
2 6 263
2 7 293
2 8 323
2 9 352
2 10 381
2 11 410
2 12 439
2 13 468
2 14 497
2 15 526
2 16 555
2 17 584
2 18 614
2 19 644
2 20 674
2 21 704
2 22 734
2 23 764
2 24 794
2 25 823
2 26 852
2 27 881
2 28 910
2 29 939
2 30 968
2 31 997
2 32 1006
3 1 114
3 2 145
3 3 176
3 4 207
3 5 238
3 6 269
3 7 300
3 8 330
3 9 360
3 10 390
3 11 420
3 12 450
3 13 480
3 14 510
3 15 540
3 16 570
3 17 601
3 18 632
3 19 663
3 20 694
3 21 725
3 22 756
3 23 787
3 24 817
3 25 847
3 26 877
3 27 907
3 28 937
3 29 967
3 30 997
3 31 1027
3 32 1037
4 1 115
4 2 147
4 3 179
4 4 211
4 5 243
4 6 275
4 7 306
4 8 337
4 9 368
4 10 399
4 11 430
4 12 461
4 13 492
4 14 523
4 15 554
4 16 586
4 17 618
4 18 650
4 19 682
4 20 714
4 21 746
4 22 778
4 23 809
4 24 840
4 25 871
4 26 902
4 27 933
4 28 964
4 29 995
4 30 1026
4 31 1057
4 32 1069
5 1 116
5 2 149
5 3 182
5 4 215
5 5 248
5 6 280
5 7 312
5 8 344
5 9 376
5 10 408
5 11 440
5 12 472
5 13 504
5 14 536
5 15 569
5 16 602
5 17 635
5 18 668
5 19 701
5 20 734
5 21 767
5 22 799
5 23 831
5 24 863
5 25 895
5 26 927
5 27 959
5 28 991
5 29 1023
5 30 1055
5 31 1088
5 32 1101
6 1 117
6 2 151
6 3 185
6 4 219
6 5 252
6 6 285
6 7 318
6 8 351
6 9 384
6 10 417
6 11 450
6 12 483
6 13 516
6 14 550
6 15 584
6 16 618
6 17 652
6 18 686
6 19 720
6 20 754
6 21 787
6 22 820
6 23 853
6 24 886
6 25 919
6 26 952
6 27 985
6 28 1018
6 29 1051
6 30 1085
6 31 1119
6 32 1133
7 1 118
7 2 153
7 3 188
7 4 222
7 5 256
7 6 290
7 7 324
7 8 358
7 9 392
7 10 426
7 11 460
7 12 494
7 13 529
7 14 564
7 15 599
7 16 634
7 17 669
7 18 704
7 19 739
7 20 773
7 21 807
7 22 841
7 23 875
7 24 909
7 25 943
7 26 977
7 27 1011
7 28 1045
7 29 1080
7 30 1115
7 31 1150
7 32 1165
8 1 119
8 2 155
8 3 190
8 4 225
8 5 260
8 6 295
8 7 330
8 8 365
8 9 400
8 10 435
8 11 470
8 12 506
8 13 542
8 14 578
8 15 614
8 16 650
8 17 686
8 18 722
8 19 757
8 20 792
8 21 827
8 22 862
8 23 897
8 24 932
8 25 967
8 26 1002
8 27 1037
8 28 1073
